d,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_image_url,business_owner_name,business_structure,business_website,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date
,GAAA-FD8L-HRDB,,,,Grower,,,9/26/2023,,,MR. BUDS L.L.C.,MR. BUDS L.L.C.,,,,,,,ANTLERS,,Pushmataha,,,,,,,
,GAAA-XLLM-X7BK,,,,Grower,,,12/25/2023,,,Red Starz LLC,Red Starz LLC,,,,,,,ROSE,,Delaware,,,,,,,
,GAAA-P0QH-ZVAM,,,,Grower,,,10/19/2022,,,"OZMOS 8820 GL, LLC","OZMOS 8820 GL, LLC",,,,,,,MEAD,,Bryan,,,,,,,
,GAAA-UC6H-KQRY,,,,Grower,,,6/26/2023,,,"THE SandT CLUB, LLC","THE SandT CLUB, LLC",,,,,,,MACOMB,,Pottawatomie,,,,,,,
,GAAA-41DF-FANU,,,,Grower,,,12/18/2023,,,"Texoma Cultivation, LLC","Texoma Cultivation, LLC",,,,,,,MADILL,,Marshall,,,,,,,
,DAAA-HAAS-FAKO,,,,Dispensary,,,10/20/2023,,,Fire Depot Dispensary,Fire Depot Dispensary,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,TAAA-CQQW-IUQP,,,,Transporter,,,9/21/2023,,,Resolute Transport LLC,Resolute Transport LLC,,,,,,,Hugo,,Choctaw,,,,,34.0333,-95.511,
,DAAA-PWXD-5NW5,,,,Dispensary,,,1/10/2024,,,"MK'S Dispensary #2, LLC","MK'S Dispensary #2, LLC",,,,,,,KINGSTON,,Marshall,,,,,,,
,GAAA-DAG8-UBM4,,,,Grower,,,5/16/2023,,,SUPER ANG LLC,Super Ang LLC,,,,,,,SPIRO,,Le Flore,,,,,,,
,GAAA-CQAS-ESA2,,,,Grower,,,10/5/2022,,,Kuremen Company LLC,Kuremen Company LLC,,,,,,,OKMULGEE,,Okmulgee,,,,,,,
,DAAA-EKXF-XRVF,,,,Dispensary,,,3/13/2024,,,"Pot Luck Dispensary, LLC","Pot Luck Dispensary, LLC",,,,,,,LAWTON,,Comanche,,,,,,,
,GAAA-SPXB-LSZI,,,,Grower,,,10/19/2023,,,CONDEMOR LLC,CONDEMOR LLC,,,,,,,FOSTER,,Stephens,,,,,,,
,DAAA-VKK4-QESC,,,,Dispensary,,,10/20/2023,,,"The Green Tumbleweed, LLC",The Green Tumbleweed,,,,,,,LAWTON,,Comanche,,,,,,,
,GAAA-LBNE-DJ3U,,,,Grower,,,5/30/2023,,,FERG Farms LLC,Flip Cannabis Company,,,,,,,DUNCAN,,Stephens,,,,,,,
,DAAA-WGZP-NGTR,,,,Dispensary,,,11/1/2023,,,"Mile High Supply, LLC","Mile High Supply, LLC",,,,,,,NOBLE,,Cleveland,,,,,,,
,DAAA-41ZP-SHYN,,,,Dispensary,,,12/11/2022,,,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",,,,,,,APACHE,,Caddo,,,,,,,
,DAAA-G0FY-INCY,,,,Dispensary,,,10/20/2023,,,"The Station Cannabis Company, LLP","The Station Cannabis Company, LLP",,,,,,,RED OAK,,Latimer,,,,,,,
,DAAA-ARU5-CVDO,,,,Dispensary,,,2/1/2023,,,Smoky Dreams,Smoky Dreams,,,,,,,GROVE,,Delaware,,,,,,,
,GAAA-4K7T-M9Q3,,,,Grower,,,12/12/2023,,,Rising Altitude LLC,Craft Cannabis Company,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-VYAX-5NNV,,,,Dispensary,,,1/9/2024,,,"Oklahoma Native Roots Health and Wellness, LLC","Oklahoma Native Roots Health and Wellness, LLC",,,,,,,DUNCAN,,Stephens,,,,,,,
,GAAA-7JOC-SNMN,,,,Grower,,,11/10/2023,,,"CaliYield Farms, LLC","CaliYield Farms, LLC",,,,,,,MOORE,,Cleveland,,,,,,,
,GAAA-NUXY-CHKH,,,,Grower,,,7/25/2023,,,"Tranquilo Enterprises, LLC","Tranquilo Enterprises, LLC",,,,,,,TULSA,,Tulsa,,,,,,,
,DAAA-4JHK-XHKP,,,,Dispensary,,,12/27/2023,,,Vice Capital Dispensary LLC,Lotus Gold,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-4YD1-QVUT,,,,Dispensary,,,2/7/2024,,,The Greenwood Cure Inc,The Greenwood Cure Inc,,,,,,,TULSA,,Tulsa,,,,,,,
,GAAA-VJ0M-8ASU,,,,Grower,,,7/17/2023,,,"L. Farms Operations, LLC",L. Farms Operations,,,,,,,SENTINEL,,Washita,,,,,,,
,GAAA-PFU0-2KKE,,,,Grower,,,12/11/2023,,,"OTOC GROUP, LLC","OTOC GROUP, LLC",,,,,,,Checotah,,McIntosh,,,,,35.4137,-95.6108,
,PAAA-E132-PGD7,,,,Processor,,,1/13/2024,,,"D9 Processing, LLC","D9 Processing, LLC",,,,,,,TULSA,,Tulsa,,,,,,,
,DAAA-EJNZ-2COE,,,,Dispensary,,,3/27/2023,,,"3 Leafs Dispensary, LLC","3 Leafs Dispensary, LLC",,,,,,,TULSA,,Tulsa,,,,,,,
,WAAA-VYYU-I4KQ,,,,Waste Disposal Facility,,,3/22/2023,,,Green Leaf Waste LLC,Green Leaf Waste,,,,,,,Oklahoma City,,Oklahoma,,,,,35.4678,-97.5164,
,PAAA-BWN1-MKNR,,,,Processor,,,11/13/2023,,,Ouchie Edibles Llc,Ouchie Edibles Llc,,,,,,,Boynton,,Muskogee,,,,,35.6535,-95.6937,
,GAAA-41M2-VTRE,,,,Grower,,,12/15/2022,,,Goody's Greens LLC,Goody's Greens LLC,,,,,,,NEWALLA,,Cleveland,,,,,,,
,GAAA-4Y9A-ZPOT,,,,Grower,,,7/26/2023,,,4T PHARMA LLC,4T PHARMA LLC,,,,,,,GLENPOOL,,Tulsa,,,,,,,
,GAAA-39IB-KAHY,,,,Grower,,,10/24/2023,,,"QuocThanh, LLC","QuocThanh, LLC",,,,,,,Holdenville,,Hughes,,,,,35.0685,-96.3108,
,GAAA-41RW-BBYL,,,,Grower,,,11/6/2023,,,Stars and Stripes Grow LLC,Stars and Stripes Grow LLC,,,,,,,NOBLE,,Cleveland,,,,,,,
,GAAA-I9VK-XYXW,,,,Grower,,,11/22/2022,,,REFA LLC,REFA LLC,,,,,,,Mooreland,,Woodward,,,,,36.504,-99.1279,
,GAAA-4K7D-EGDU,,,,Grower,,,9/25/2023,,,"Grassman Growers, LLC","Grassman Growers, LLC",,,,,,,MARIETTA,,Love,,,,,,,
,GAAA-PDUB-3CYJ,,,,Grower,,,11/14/2023,,,High Horse Organics LLC,High Horse Organics LLC,,,,,,,BLANCHARD,,Grady,,,,,,,
,GAAA-4JML-ZNMV,,,,Grower,,,11/21/2023,,,"So Fresh and So Green, LLC","So Fresh and So Green, LLC",,,,,,,NEWCASTLE,,McClain,,,,,,,
,GAAA-KGBM-FQWI,,,,Grower,,,8/24/2023,,,LDP GREEN IMPORTS LLC,LDP Green Imports LLC,,,,,,,HOBART,,Kiowa,,,,,,,
,DAAA-KVX4-HJOG,,,,Dispensary,,,12/6/2023,,,DOK CORPORATION,DANK CANNABIS DISPENSARY,,,,,,,BRISTOW,,Creek,,,,,,,
,GAAA-1MKH-P3XF,,,,Grower,,,2/13/2024,,,Helios Gardens LLC,Shano Weedness,,,,,,,TAHLEQUAH,,Cherokee,,,,,,,
,GAAA-UEGA-I2YR,,,,Grower,,,6/19/2023,,,Red Sun LLC,Red Sun LLC,,,,,,,Clinton,,Custer,,,,,35.5665,-99.0109,
,GAAA-XDD5-58BC,,,,Grower,,,2/8/2024,,,"DP Buds, LLC","DP Buds, LLC",,,,,,,Fort Gibson,,Muskogee,,,,,35.8025,-95.1938,
,DAAA-XLVV-AOEQ,,,,Dispensary,,,11/10/2023,,,Green medical patients LLC,Greendoctor420,,,,,,,OKLAHOMA CITY,,Cleveland,,,,,,,
,DAAA-BH3E-9X0L,,,,Dispensary,,,10/30/2023,,,"J-J Weed Company, LLC",The Reefer Shack,,,,,,,SEMINOLE,,Seminole,,,,,,,
,DAAA-VJNL-SLFW,,,,Dispensary,,,2/27/2023,,,Smart Stop LLC,Smart Stop LLC,,,,,,,WEWOKA,,Seminole,,,,,,,
,DAAA-KNV0-EI2B,,,,Dispensary,,,10/2/2023,,,Rough Country Cannabis,Rough Country Cannabis,,,,,,,Durant,,Bryan,,,,,34.0123,-96.4051,
,GAAA-EYZM-OI9L,,,,Grower,,,3/23/2024,,,"True Heights Cultivation Holdings, LLC","True Heights Cultivation Holdings, LLC",,,,,,,Oklahoma City,,Oklahoma,,,,,35.4678,-97.5164,
,GAAA-XI9M-HEVO,,,,Grower,,,12/12/2022,,,"Golden Grams, LLC","Golden Grams, LLC",,,,,,,ADA,,Pontotoc,,,,,,,
,GAAA-FKCF-SVRP,,,,Grower,,,10/25/2023,,,479 Grow LLC,479 Grow LLC,,,,,,,ANADARKO,,Caddo,,,,,,,
,GAAA-QTUP-Y7LU,,,,Grower,,,7/31/2023,,,Old Mill Grow LLC,Old Mill Grow,,,,,,,Hollis,,Harmon,,,,,34.7949,-99.9385,
,DAAA-UZUV-KVSE,,,,Dispensary,,,11/27/2022,,,"PAIN FREE BUDS RX, LLC",PAIN FREE BUDS,,,,,,,PURCELL,,McClain,,,,,,,
,GAAA-4KJY-BVUP,,,,Grower,,,11/20/2023,,,"GFAW, Inc.",Gas Factory,,,,,,,SHARON,,Woodward,,,,,,,
,DAAA-V1OQ-I54K,,,,Dispensary,,,1/9/2024,,,B and B Alternatives LLC,The Remedy,,,,,,,DURANT,,Bryan,,,,,,,
,GAAA-WP2B-PBVD,,,,Grower,,,11/22/2023,,,"SANDY RIVER NURSERY, LLC","SANDY RIVER NURSERY, LLC",,,,,,,COLBERT,,Bryan,,,,,,,
,DAAA-4KRM-DKJ1,,,,Dispensary,,,10/4/2023,,,"Emerald Group, Inc.",The Healing Club,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-9PJS-NUYS,,,,Grower,,,5/30/2024,,,DIVA PLANTATION LLC,DIVA PLANTATION LLC,,,,,,,NOBLE,,Cleveland,,,,,,,
,DAAA-TYLZ-TRCZ,,,,Dispensary,,,10/3/2023,,,Angel Farmhouse LLC,TNT Cannabis Group,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-V1M0-C821,,,,Grower,,,3/14/2024,,,Mr. Bee's Farm's LLC,Mr. Bee's Farm's,,,,,,,CADDO,,Atoka,,,,,,,
,DAAA-N1WL-B1AY,,,,Dispensary,,,9/30/2023,,,"THC The Healing Clinic, LLC","THC The Healing Clinic, LLC",,,,,,,Medicine Park,,Comanche,,,,,34.7461,-98.5309,
,GAAA-E1X3-VHA2,,,,Grower,,,11/15/2023,,,BBCS Farms LLC,BBCS Farms,,,,,,,BARTLESVILLE,,Washington,,,,,,,
,DAAA-ZECW-JEGY,,,,Dispensary,,,10/19/2022,,,PLNT46 LLC,Native Brothers Dispensary on Santa Fe,,,,,,,EDMOND,,Oklahoma,,,,,,,
,GAAA-HEB6-UCHN,,,,Grower,,,9/25/2023,,,Exclusive Organics LLC,Exclusive Organics LLC,,,,,,,Elmore City,,Garvin,,,,,34.6157,-97.4053,
,GAAA-RUT5-0GMF,,,,Grower,,,5/30/2023,,,HAO MAI LLC,HAO MAI LLC,,,,,,,ARDMORE,,Carter,,,,,,,
,DAAA-NKXZ-IZZ0,,,,Dispensary,,,3/7/2024,,,Viva Sativa L.L.P.,Viva Sativa L.L.P.,,,,,,,Talihina,,Le Flore,,,,,34.7052,-94.8649,
,GAAA-9BI8-WIH6,,,,Grower,,,2/1/2024,,,"YASAA, LLC","YASAA, LLC",,,,,,,PADEN,,Okfuskee,,,,,,,
,GAAA-1NNP-NATL,,,,Grower,,,9/13/2023,,,STKC 4 LLC,STKC 4 LLC,,,,,,,COLCORD,,Delaware,,,,,,,
,GAAA-MF78-4R2G,,,,Grower,,,9/15/2023,,,"TERPENE GARDEN, LLC",TERPENE GARDEN,,,,,,,WELLSTON,,Lincoln,,,,,,,
,GAAA-4YA1-UVC0,,,,Grower,,,6/21/2023,,,Turner Clary Holdings LLC,Turner Roots,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-NYUI-NCNJ,,,,Dispensary,,,12/10/2023,,,The Two Romans Garden LLC,State Line Dispensary of Roland,,,,,,,ROLAND,,Sequoyah,,,,,,,
,PAAA-GKL6-5RDJ,,,,Processor,,,6/13/2023,,,"C & A Services, LLC","C & A Services, LLC",,,,,,,HOMINY,,Osage,,,,,,,
,GAAA-41TJ-68NY,,,,Grower,,,2/7/2024,,,Roycellen Nunley,Dancing Leaf Company,,,,,,,WAYNE,,McClain,,,,,,,
,DAAA-EKX6-CTSR,,,,Dispensary,,,2/17/2023,,,"Emerald Cross, LLC",Native Grass Dispensary,,,,,,,MUSKOGEE,,Muskogee,,,,,,,
,GAAA-JNZH-FSUR,,,,Grower,,,11/14/2023,,,"Green Method, LLC","Green Method, LLC",,,,,,,Tulsa,,Tulsa,,,,,36.1537,-95.9926,
,GAAA-VYYS-RRRD,,,,Grower,,,2/1/2023,,,Grand Medical LLC,Grand Medical LLC,,,,,,,BEGGS,,Okmulgee,,,,,,,
,GAAA-FO0J-5KT9,,,,Grower,,,11/24/2023,,,PharmaFlower Group Inc,PharmaFlower Group Inc,,,,,,,FAIRFAX,,Osage,,,,,,,
,GAAA-SQG2-KACC,,,,Grower,,,8/3/2023,,,"DR PAUL'S MEDICAL HERBS, LLC","DR PAUL'S MEDICAL HERBS, LLC",,,,,,,TEMPLE,,Cotton,,,,,,,
,PAAA-VJME-7GGA,,,,Processor,,,12/14/2023,,,"Evo Distribution Company, LLC","Evo Distribution Company, LLC",,,,,,,BROKEN ARROW,,Tulsa,,,,,,,
,DAAA-4JBP-8NGW,,,,Dispensary,,,12/25/2023,,,Peaceful ReLeaf LLC,Peaceful ReLeaf LLC,,,,,,,TULSA,,Tulsa,,,,,,,
,DAAA-YOWH-U4J2,,,,Dispensary,,,10/25/2023,,,Higher LLC,Higher LLC,,,,,,,Woodward,,Woodward,,,,,36.4188,-99.387,
,GAAA-L2MM-BGLV,,,,Grower,,,9/21/2023,,,Miracle Cannabis LLC,Miracle Cannabis Farm,,,,,,,muskogee,,Muskogee,,,,,,,
,GAAA-4YAF-NNKM,,,,Grower,,,5/10/2023,,,Master Cannabis Growers LLC,Master Cannabis Growers,,,,,,,BOSWELL,,Atoka,,,,,,,
,DAAA-FULS-S8EF,,,,Dispensary,,,8/24/2023,,,The House of Chronic LLC,The House of Chronic LLC,,,,,,,Del City,,Oklahoma,,,,,,,
,DAAA-NYPB-NOFT,,,,Dispensary,,,12/25/2023,,,Good Vibes Dispensary LLC,Good Vibes Dispensary,,,,,,,STILWELL,,Adair,,,,,,,
,DAAA-V1SN-BQ8I,,,,Dispensary,,,9/12/2023,,,State Line Dispensary LLC,State Line Dispensary of West Siloam Springs,,,,,,,Colcord,,Delaware,,,,,36.2584,-94.6932,
,GAAA-SAUQ-LMKK,,,,Grower,,,12/21/2023,,,Bowery Green LLC,Bowery Green LLC,,,,,,,TULSA,,Tulsa,,,,,,,
,GAAA-PQRY-OLLN,,,,Grower,,,3/29/2024,,,Alliance Venture Farm LLC,Alliance Venture Farm LLC,,,,,,,PRAGUE,,Lincoln,,,,,,,
,GAAA-RQF8-XHVX,,,,Grower,,,12/7/2023,,,THE SAENZ CLINIC LLC,THE SAENZ CLINIC LLC,,,,,,,Guymon,,Texas,,,,,36.7478,-101.3936,
,GAAA-VKSW-GVAD,,,,Grower,,,12/10/2023,,,Root 66 Grass Station llc,Root 66 Grass Station llc,,,,,,,CATOOSA,,Tulsa,,,,,,,
,DAAA-TDXG-SXCC,,,,Dispensary,,,12/20/2023,,,Pristine and Green LLC,Pristine and Green LLC,,,,,,,PRAGUE,,Pottawatomie,,,,,,,
,DAAA-IEYD-5IMO,,,,Dispensary,,,10/2/2023,,,Platinum budz LLC,Groovy budz,,,,,,,MOORE,,Cleveland,,,,,,,
,DAAA-IUXC-L0XZ,,,,Dispensary,,,1/12/2024,,,"AG and KP Enterprises, L.L.C.",The Green Mile II,,,,,,,DEL CITY,,Oklahoma,,,,,,,
,DAAA-T3MO-4QZS,,,,Dispensary,,,7/5/2024,,,KOLI CANNABIS LTD,KOLI CANNABIS-MIAMI,,,,,,,MIAMI,,Ottawa,,,,,,,
,GAAA-NJ2N-GTE5,,,,Grower,,,8/30/2023,,,No Limit Investments LLC,No Limit Garden,,,,,,,NOBLE,,Cleveland,,,,,,,
,DAAA-NKT8-E6NU,,,,Dispensary,,,9/27/2023,,,RELEAF DISPENSARY LLC,RELEAF DISPENSARY LLC,,,,,,,DEL CITY,,Oklahoma,,,,,,,
,DAAA-UHTR-OA1R,,,,Dispensary,,,9/14/2023,,,"Big Ass Buds, LLC",Exotic Stash Dispensary,,,,,,,Newcastle,,McClain,,,,,35.2587,-97.6006,
,GAAA-MFG9-TJYY,,,,Grower,,,9/20/2023,,,ARK Farms LLC,ARK Farms LLC,,,,,,,STILWELL,,Adair,,,,,,,
,GAAA-PF3O-EFFW,,,,Grower,,,10/2/2023,,,"D and W River View Greenery, LLC","D and W River View Greenery, LLC",,,,,,,PAWNEE,,Pawnee,,,,,,,
,GAAA-VYM2-NGIO,,,,Grower,,,5/12/2023,,,Showdown Enterprises LLC,ALTVM,,,,,,,EDMOND,,Oklahoma,,,,,,,
,GAAA-VJPI-RAL2,,,,Grower,,,8/22/2023,,,Royce Industries LLc,greenflame factory,,,,,,,MULDROW,,Sequoyah,,,,,,,
,DAAA-E17G-IGDX,,,,Dispensary,,,11/17/2023,,,"JIM'S RED BARN, LLC",ZAFRA 420 DISPENSARY,,,,,,,SMITHVILLE,,Le Flore,,,,,,,
,DAAA-EKYN-VDOL,,,,Dispensary,,,8/8/2023,,,Puff Puff Pass Dispensary LLC,Puff Puff Pass Dispensary LLC,,,,,,,POTEAU,,Le Flore,,,,,,,
,GAAA-4KEY-R5B4,,,,Grower,,,12/14/2022,,,"Darryl's Ole Koots Cannabis, LLC","Darryl's Ole Koots Cannabis, LLC",,,,,,,McAlester,,Pittsburg,,,,,,,
,GAAA-WRPU-AFNM,,,,Grower,,,6/13/2023,,,Cannabis Connoisseurs Enterprises. LLC,Cannabis Connoisseurs Enterprises,,,,,,,Edmond,,Logan,,,,,35.6675,-97.496,
,DAAA-4JBG-TECD,,,,Dispensary,,,5/3/2024,,,Altcare 12 LLC,Fire Leaf 12,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,TAAA-WQ7R-IDKX,,,,Transporter,,,10/2/2023,,,Grow Flow Solutions LLC,Grow Flow Sulutions LLC,,,,,,,KINGSTON,,Marshall,,,,,,,
,GAAA-XLAU-1SQN,,,,Grower,,,7/31/2023,,,Michael Cooke,C3 Medical,,,,,,,Okarche,,Canadian,,,,,35.7991,-97.9406,
,GAAA-4DMU-BOTZ,,,,Grower,,,10/20/2023,,,"OKLAHOMA GREEN CLOVER, LLC",OKLAHOMA GREEN CLOVER,,,,,,,MARIETTA,,Love,,,,,,,
,DAAA-Q6AR-XCUB,,,,Dispensary,,,1/1/2024,,,Rolling Stone Laverne Dispensary LLC,Rolling Stoned Laverne,,,,,,,Laverne,,Harper,,,,,36.656,-100.0185,
,GAAA-AQJK-EQHH,,,,Grower,,,11/2/2023,,,Houa Farm LLC,Houa Farm,,,,,,,Claremore,,Rogers,,,,,36.3941,-95.5717,
,GAAA-EJIG-SY8D,,,,Grower,,,11/13/2023,,,Zukerman Farms LLC,Zukerman Farms LLC,,,,,,,GERONIMO,,Comanche,,,,,,,
,DAAA-JTJY-CA3H,,,,Dispensary,,,12/5/2023,,,GOODIES SMOKEY GREEN LLC,GOODIES GANJA EXPRESS,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,PAAA-TRKM-AC3I,,,,Processor,,,10/31/2023,,,Good Green Co. LLC,Crimson and Gold Processing,,,,,,,Wynnewood,,Garvin,,,,,34.5937,-97.204,
,GAAA-AKDY-QTQZ,,,,Grower,,,4/25/2024,,,"PTK Power, LLC","PTK Power, LLC",,,,,,,VIAN,,Sequoyah,,,,,,,
,PAAA-5KIN-O2G3,,,,Processor,,,10/20/2023,,,"Back 40 Investments, LLC",REDBILLY BRAND,,,,,,,Westville,,Adair,,,,,36.0034,-94.6578,
,DAAA-P7A2-4N4S,,,,Dispensary,,,1/10/2023,,,Wendell Michael Murphree,Bud Barn Discount Dispensary,,,,,,,DURANT,,Bryan,,,,,,,
,GAAA-VYDH-NT52,,,,Grower,,,12/22/2023,,,Gold Mesa LLC,Gold Mesa LLC,,,,,,,JONES,,Oklahoma,,,,,,,
